,Churn,Item1,Item2,Item4,Item5,Item6,Gender,Age,Income,Marital,Children
1912,No,4,4,4,3,5,Male,63,15423.53,Divorced,3
1913,No,3,3,4,2,2,Male,70,8465.02,Married,2
1914,Yes,3,2,3,5,3,Female,58,23107.22,Divorced,0
1915,Yes,3,2,5,4,2,Male,63,65329.46,Widowed,1
1916,No,4,4,3,3,4,Male,46,12650.67,Never Married,0
1917,No,4,5,2,5,4,Male,89,99787.78,Divorced,3
1918,No,3,5,4,2,5,Female,49,53320.93,Separated,2
1919,Yes,4,5,3,3,4,Male,30,116888.77,Divorced,0
1920,Yes,4,4,4,3,4,Female,86,22840.68,Married,0
1921,Yes,3,4,5,3,4,Male,28,29742.47,Widowed,7
1922,Yes,5,4,4,3,5,Male,56,22139.13,Married,2
1923,No,4,4,4,4,4,Female,80,26760.18,Married,4
1924,Yes,2,3,2,4,2,Female,28,23613.85,Widowed,5
1925,No,2,3,4,4,3,Female,53,38691.84,Married,3
1926,No,2,3,5,5,4,Female,86,39163.32,Divorced,3
1927,No,2,2,4,3,2,Male,27,8539.27,Married,3
1928,No,4,3,3,4,4,Nonbinary,77,17054.95,Separated,1
1929,No,3,3,3,4,2,Female,85,68237.79,Widowed,5
1930,Yes,3,3,3,4,3,Male,47,23101.13,Married,2
1931,No,3,3,3,5,1,Male,57,49323.19,Divorced,1
1932,Yes,4,3,4,4,3,Male,51,32459.53,Married,2
1933,No,4,2,2,4,3,Male,37,43765.92,Widowed,4
1934,Yes,2,3,4,3,4,Female,32,91605.19,Never Married,3
1935,Yes,5,3,5,2,6,Male,55,34978.09,Never Married,1
1936,Yes,4,5,4,4,4,Male,69,115594.58,Widowed,2
1937,No,3,3,4,2,4,Male,24,137589.2,Widowed,1
1938,Yes,3,3,2,4,3,Male,79,10349.38,Divorced,4
1939,No,3,3,1,5,4,Female,64,9324.27,Separated,2
1940,Yes,4,3,3,5,3,Female,26,23026.89,Widowed,4
1941,Yes,5,4,4,3,5,Female,60,13719.94,Separated,0
1942,No,5,5,4,5,4,Male,69,47635.23,Widowed,0
1943,Yes,4,4,3,2,5,Nonbinary,37,49270.7,Divorced,1
1944,No,3,3,4,2,3,Female,65,8982.13,Separated,2
1945,No,3,3,3,3,2,Male,70,30593.51,Never Married,0
1946,No,1,1,5,2,4,Female,81,8507.14,Separated,3
1947,No,3,4,4,2,4,Male,42,21084.49,Widowed,0
1948,No,2,3,2,5,2,Male,55,99199.26,Widowed,3
1949,Yes,4,4,3,4,2,Male,21,32720.43,Married,4
1950,Yes,3,3,4,3,4,Male,30,8228.16,Divorced,1
1951,Yes,3,4,2,4,3,Male,86,29966.23,Divorced,9
1952,No,5,5,5,4,5,Female,81,96126.76,Separated,3
1953,Yes,3,3,5,5,3,Male,81,10907.78,Married,3
1954,No,5,4,3,5,3,Female,19,37816.75,Never Married,3
1955,No,4,4,2,5,5,Male,41,20429.65,Married,1
1956,No,3,3,4,4,2,Female,76,72927.6,Never Married,2
1957,Yes,4,3,6,3,3,Male,70,12895.65,Widowed,2
1958,Yes,4,4,1,4,5,Male,22,29653.48,Divorced,1
1959,No,5,4,4,4,4,Female,41,84185.38,Widowed,1
1960,No,5,4,3,4,4,Male,32,15369.78,Never Married,2
1961,Yes,4,3,3,5,4,Male,54,45577.26,Separated,2
1962,Yes,3,1,3,4,3,Male,57,19992.77,Never Married,1
1963,No,3,4,3,4,3,Female,72,38137.48,Married,4
1964,No,3,5,3,4,4,Nonbinary,48,17762.55,Married,2
1965,Yes,2,3,3,4,2,Male,46,18493.34,Separated,1
1966,Yes,2,3,3,5,2,Male,41,43296.9,Married,0
1967,No,3,3,5,3,5,Male,64,17172.32,Widowed,1
1968,Yes,4,3,3,5,3,Male,62,27687.94,Separated,0
1969,No,3,4,3,4,3,Female,44,29613.46,Never Married,0
1970,No,3,3,2,3,3,Female,86,20926.46,Married,1
1971,Yes,4,5,3,4,4,Female,36,9758.3,Married,0
1972,Yes,4,3,2,5,2,Male,66,24805.02,Separated,3
1973,No,3,3,3,5,4,Male,54,31324.12,Never Married,3
1974,Yes,4,3,3,4,3,Female,63,45562.92,Never Married,1
1975,No,3,3,4,3,2,Female,59,35226.26,Divorced,1
1976,Yes,2,2,2,3,1,Male,65,54561.94,Divorced,0
1977,No,4,3,3,5,4,Male,48,9202.1,Never Married,1
1978,No,3,2,4,4,3,Male,49,27720.0,Widowed,1
1979,No,3,3,3,3,5,Female,35,33748.05,Married,0
1980,Yes,3,4,4,4,3,Male,87,83416.9,Never Married,2
1981,No,2,3,4,3,4,Male,60,67448.07,Never Married,0
1982,No,3,3,5,3,3,Male,82,17105.07,Married,0
1983,No,1,2,4,3,3,Female,45,48915.51,Widowed,0
1984,No,3,4,4,4,4,Female,44,32992.62,Separated,2
1985,Yes,3,2,4,3,2,Male,19,45631.91,Never Married,5
1986,No,5,4,3,4,5,Female,37,26049.03,Never Married,3
1987,Yes,4,4,2,3,4,Female,19,9545.58,Divorced,0
1988,No,3,3,3,4,4,Male,70,24717.71,Never Married,1
1989,Yes,3,3,5,3,3,Female,51,28162.54,Never Married,0
1990,Yes,4,4,5,3,4,Female,71,33318.12,Separated,0
1991,Yes,4,4,4,2,5,Male,30,56817.96,Never Married,3
1992,No,4,4,3,5,3,Female,27,15762.57,Widowed,1
1993,Yes,3,3,4,5,4,Female,36,16584.03,Divorced,0
1994,No,5,5,3,3,4,Male,76,3666.35,Separated,2
1995,No,4,2,1,6,1,Female,47,34264.02,Married,1
1996,Yes,6,5,3,3,5,Male,26,20680.56,Married,0
1997,Yes,3,4,3,5,4,Male,31,64242.12,Separated,2
1998,No,4,4,3,5,5,Male,34,13655.62,Divorced,0
1999,Yes,4,5,6,2,4,Female,56,23805.49,Married,0
2000,Yes,3,3,3,4,2,Male,44,74915.44,Divorced,3
2001,Yes,3,3,3,4,3,Male,62,17386.0,Married,1
2002,No,2,3,4,3,4,Female,39,8809.37,Divorced,0
2003,Yes,4,3,2,6,3,Female,29,29856.65,Divorced,0
2004,Yes,3,3,3,5,2,Female,49,84914.28,Divorced,5
2005,No,3,3,3,2,5,Female,18,19789.59,Divorced,0
2006,No,4,4,3,2,5,Female,19,19091.73,Married,4
2007,Yes,3,3,3,3,2,Female,43,30898.32,Never Married,1
2008,Yes,5,5,2,2,6,Male,28,60536.56,Widowed,3
2009,Yes,4,5,4,2,5,Male,86,65062.28,Widowed,3
2010,Yes,4,3,4,2,4,Female,70,10305.73,Divorced,4
2011,No,1,3,3,4,2,Female,79,36381.36,Separated,1
2012,Yes,4,5,2,4,2,Female,84,23978.67,Widowed,3
2013,No,3,2,4,2,4,Male,46,68557.22,Widowed,8
2014,Yes,3,4,3,3,4,Male,29,16367.17,Married,8
2015,Yes,3,3,2,4,2,Male,55,10315.72,Separated,5
2016,Yes,5,5,3,3,4,Female,86,40783.52,Married,4
2017,Yes,4,3,3,6,1,Female,26,19920.22,Divorced,3
2018,Yes,3,3,4,4,2,Female,79,80176.6,Married,2
2019,No,4,4,4,3,4,Male,72,8803.4,Never Married,2
2020,No,6,6,3,3,5,Female,34,76063.08,Widowed,1
2021,No,5,3,2,4,3,Female,45,50159.71,Never Married,1
2022,No,3,5,4,2,4,Nonbinary,31,29467.49,Separated,0
2023,No,5,5,4,4,3,Female,20,28790.92,Never Married,1
2024,No,3,3,4,3,3,Male,80,44485.5,Separated,3
2025,Yes,3,4,3,4,1,Male,77,40939.24,Widowed,6
2026,Yes,4,4,4,5,4,Male,44,61142.96,Never Married,1
2027,Yes,4,4,3,4,3,Female,73,72734.86,Never Married,8
2028,Yes,4,5,3,4,2,Male,45,74948.35,Separated,1
2029,Yes,1,2,3,5,1,Male,53,45693.25,Married,1
2030,No,3,3,4,2,3,Male,20,25686.47,Widowed,3
2031,No,3,3,2,3,3,Female,85,3640.46,Separated,4
2032,No,3,4,3,4,4,Female,28,68631.52,Never Married,3
2033,No,4,3,3,5,2,Male,68,55306.54,Separated,3
2034,Yes,3,4,3,3,3,Male,18,32058.65,Never Married,7
2035,No,4,5,4,3,4,Female,82,98366.83,Separated,8
2036,Yes,2,3,4,3,3,Male,28,10533.21,Married,0
2037,Yes,5,4,3,4,3,Female,29,68487.6,Separated,0
2038,No,4,4,3,5,2,Female,54,10879.84,Married,1
2039,No,3,3,3,5,2,Female,67,29149.35,Widowed,4
2040,No,3,4,4,4,4,Male,28,20185.24,Never Married,0
2041,No,4,4,5,3,4,Male,84,43121.53,Divorced,1
2042,Yes,4,4,4,5,3,Male,68,53952.59,Separated,1
2043,Yes,4,5,5,2,4,Female,34,37794.12,Widowed,0
2044,Yes,5,4,5,1,5,Female,21,101907.8,Married,1
2045,No,4,4,3,5,4,Female,44,24218.05,Never Married,1
2046,Yes,6,5,3,4,2,Male,54,32075.69,Separated,0
2047,No,2,2,5,4,3,Male,30,12429.48,Married,0
2048,No,3,3,3,4,3,Male,48,39939.55,Widowed,0
2049,Yes,4,3,3,2,4,Female,51,34531.07,Widowed,1
2050,Yes,3,4,5,3,3,Female,60,14646.58,Married,4
2051,No,4,4,4,3,3,Male,50,630.24,Separated,0
2052,Yes,6,5,3,3,5,Male,87,48476.58,Married,2
2053,No,3,4,3,5,4,Female,44,7591.68,Widowed,1
2054,No,3,3,2,5,3,Female,82,9829.71,Widowed,1
2055,No,4,3,3,4,4,Male,29,6923.8,Separated,2
2056,No,5,4,2,4,5,Male,23,99291.94,Married,3
2057,No,3,4,2,2,4,Male,44,18610.56,Married,4
2058,No,2,2,4,3,3,Female,68,22745.33,Married,1
2059,Yes,4,3,4,3,5,Female,75,14987.31,Divorced,2
2060,Yes,4,5,2,6,3,Female,31,54531.53,Widowed,2
2061,No,5,4,2,4,2,Female,78,22067.94,Never Married,4
2062,No,4,3,3,4,3,Female,64,10440.87,Separated,0
2063,No,5,4,1,2,4,Male,46,38257.1,Married,4
2064,No,3,2,4,5,3,Male,23,8626.93,Married,1
2065,Yes,2,2,4,3,2,Male,77,41169.69,Married,1
2066,No,4,4,2,3,4,Female,63,51251.22,Never Married,3
2067,No,3,4,3,5,3,Female,32,53267.14,Never Married,0
2068,No,4,4,5,2,3,Female,42,47320.46,Divorced,0
2069,No,4,3,3,5,3,Male,46,67172.04,Separated,1
2070,Yes,4,4,6,2,5,Female,55,15872.85,Separated,3
2071,No,3,2,4,3,3,Male,60,26385.01,Widowed,1
2072,Yes,5,4,4,2,4,Male,36,30575.77,Married,1
2073,No,3,4,1,4,4,Female,49,127881.0,Never Married,0
2074,No,3,3,3,4,3,Female,26,52199.89,Separated,2
2075,No,4,4,4,4,3,Male,32,44236.12,Separated,4
2076,No,4,4,4,3,4,Female,67,48112.75,Married,5
2077,Yes,4,3,4,2,3,Female,67,16944.5,Married,8
2078,No,4,4,2,3,4,Male,36,60384.01,Widowed,1
2079,Yes,3,4,3,3,4,Male,68,116572.3,Divorced,1
2080,Yes,5,4,4,4,4,Male,67,10516.36,Divorced,3
2081,No,5,6,4,4,4,Female,67,41867.94,Married,2
2082,Yes,5,3,4,3,4,Female,52,16827.22,Widowed,0
2083,Yes,3,4,5,1,4,Female,77,86877.95,Divorced,2
2084,Yes,4,3,2,4,3,Male,36,45268.54,Divorced,1
2085,Yes,3,3,2,4,3,Male,48,60555.18,Widowed,1
2086,Yes,2,2,4,4,3,Male,25,21951.91,Separated,0
2087,No,4,3,2,4,3,Male,63,15468.51,Married,3
2088,Yes,4,3,2,3,3,Male,19,10120.05,Divorced,1
2089,No,3,3,2,2,4,Male,39,2715.32,Married,0
2090,No,5,6,3,4,4,Female,44,100861.7,Separated,4
2091,No,3,4,4,4,4,Female,47,27938.89,Widowed,2
2092,Yes,4,4,4,3,3,Female,71,41676.3,Widowed,0
2093,No,3,3,4,2,4,Male,19,48821.75,Never Married,8
2094,No,3,3,3,4,3,Female,70,29246.74,Divorced,8
2095,Yes,3,4,5,4,3,Female,72,61915.61,Widowed,1
2096,Yes,3,3,4,3,4,Male,34,115414.9,Divorced,5
2097,Yes,2,3,4,5,3,Male,76,38228.16,Separated,4
2098,Yes,3,2,2,4,2,Male,30,17492.71,Divorced,3
2099,Yes,2,3,3,5,3,Female,60,19410.35,Never Married,1
2100,No,4,4,4,3,3,Female,59,4425.26,Married,4
2101,Yes,4,3,5,3,4,Female,60,13909.89,Divorced,0
2102,No,3,3,5,2,4,Male,55,53954.51,Separated,1
2103,No,5,5,4,2,6,Female,36,65731.64,Divorced,0
2104,Yes,3,3,4,1,3,Female,57,13929.56,Separated,0
2105,Yes,2,2,4,4,3,Male,49,41181.43,Separated,1
2106,Yes,5,6,5,3,4,Female,83,30997.05,Never Married,1
2107,Yes,3,2,4,5,2,Female,77,53235.48,Never Married,5
2108,No,3,4,2,4,2,Female,29,34098.95,Widowed,3
2109,Yes,4,4,3,3,2,Male,62,38302.75,Divorced,1
2110,Yes,1,1,1,5,3,Female,84,34604.65,Married,1
2111,Yes,4,4,4,2,5,Female,44,23646.52,Separated,3
2112,Yes,3,2,3,5,2,Nonbinary,37,101807.8,Widowed,3
2113,Yes,4,4,4,2,5,Male,19,48531.85,Separated,7
2114,Yes,4,4,3,5,3,Female,78,103435.7,Married,5
2115,Yes,3,2,5,4,3,Male,83,7521.18,Separated,4
2116,No,3,3,4,4,4,Male,41,6740.05,Divorced,4
2117,Yes,4,4,2,5,2,Female,23,78026.55,Widowed,2
2118,Yes,2,2,5,3,4,Male,53,9790.18,Separated,3
2119,Yes,4,4,4,2,4,Female,67,40978.57,Separated,4
2120,No,4,4,4,3,4,Female,88,83234.64,Widowed,0
2121,No,2,2,5,3,3,Female,77,29681.02,Divorced,2
2122,No,4,5,5,2,4,Male,43,66031.23,Divorced,1
2123,No,2,3,3,3,3,Male,73,146782.3,Never Married,1
2124,No,3,3,5,3,4,Male,45,31486.98,Married,3
2125,No,4,4,4,4,3,Male,57,21482.85,Married,3
2126,Yes,3,2,4,4,2,Male,36,42345.0,Married,4
2127,Yes,2,2,4,4,3,Male,69,40134.85,Divorced,0
2128,No,4,4,3,4,3,Female,30,54713.59,Divorced,8
2129,Yes,4,4,3,4,4,Male,44,68269.35,Divorced,3
2130,Yes,3,2,4,3,2,Male,25,22823.11,Widowed,0
2131,Yes,4,3,3,3,3,Female,31,61362.22,Married,3
2132,Yes,3,4,3,5,2,Male,64,36887.34,Separated,1
2133,No,3,4,2,4,4,Male,48,50354.57,Widowed,3
2134,Yes,7,6,6,4,4,Male,31,14048.76,Married,4
2135,Yes,2,2,3,5,2,Female,22,67252.64,Separated,0
2136,Yes,5,4,3,5,3,Female,57,35925.24,Widowed,1
2137,No,3,3,5,4,3,Male,23,25895.26,Married,1
2138,Yes,4,4,4,2,4,Female,52,31637.52,Divorced,1
2139,No,4,3,4,4,4,Female,69,84810.48,Married,3
2140,No,4,5,3,3,3,Male,61,18708.42,Married,3
2141,Yes,3,3,4,3,4,Female,84,68822.79,Divorced,1
2142,Yes,3,4,3,3,4,Female,54,64945.46,Never Married,6
2143,Yes,2,3,1,5,2,Female,67,50160.82,Separated,0
2144,Yes,5,5,3,2,4,Male,40,22622.48,Separated,1
2145,Yes,2,1,4,2,3,Male,37,53358.81,Widowed,8
2146,Yes,3,4,3,4,5,Female,29,30303.35,Divorced,1
2147,No,3,2,3,4,3,Female,23,27135.0,Married,2
2148,No,4,3,5,2,4,Female,36,21345.51,Divorced,1
2149,Yes,5,4,2,4,3,Male,76,22626.3,Never Married,8
2150,Yes,3,4,4,3,3,Female,87,36532.31,Widowed,1
2151,No,4,3,2,4,2,Male,51,42912.49,Widowed,1
2152,No,4,3,4,3,3,Female,25,4855.88,Divorced,1
2153,No,4,4,3,3,4,Female,40,30543.93,Divorced,0
2154,Yes,3,2,5,2,5,Female,30,19284.89,Separated,8
2155,No,4,3,2,4,4,Male,19,44107.0,Never Married,4
2156,No,4,3,4,3,5,Female,21,32849.77,Never Married,2
2157,Yes,1,2,5,4,3,Male,65,4795.94,Married,0
2158,Yes,2,3,5,2,4,Female,51,44034.11,Married,0
2159,Yes,3,3,5,4,4,Male,86,55836.3,Separated,1
2160,Yes,2,3,4,3,2,Female,52,7321.37,Divorced,1
2161,No,3,4,2,3,3,Female,68,70673.64,Never Married,1
2162,Yes,3,5,3,5,4,Female,89,62998.7,Widowed,1
2163,Yes,5,4,4,3,4,Female,18,60751.35,Married,0
2164,Yes,3,4,5,4,4,Female,33,26284.13,Widowed,2
2165,No,4,6,3,4,5,Female,58,64117.45,Never Married,3
2166,Yes,2,3,4,5,3,Male,65,23691.5,Separated,3
2167,Yes,2,2,6,2,3,Male,86,17274.61,Widowed,1
2168,No,4,4,4,3,5,Female,80,52089.36,Separated,0
2169,Yes,3,4,4,4,2,Female,86,44186.7,Divorced,1
2170,Yes,2,2,3,1,4,Male,44,102090.5,Widowed,0
2171,No,2,3,3,5,2,Female,45,39569.58,Married,8
2172,Yes,3,3,4,3,3,Female,53,4033.46,Widowed,0
2173,Yes,3,4,5,3,5,Male,35,11970.69,Separated,2
2174,Yes,3,2,3,4,4,Male,60,18205.32,Married,0
2175,No,5,3,6,2,5,Female,71,26012.53,Married,2
2176,No,3,3,4,3,6,Female,70,27386.37,Divorced,0
2177,No,4,3,4,4,3,Female,46,24728.28,Never Married,0
2178,Yes,2,3,3,5,2,Male,64,47079.18,Separated,1
2179,No,5,3,3,3,4,Male,44,38310.04,Never Married,10
2180,No,3,2,3,5,4,Female,21,35022.32,Married,6
2181,Yes,3,4,3,5,4,Female,26,27252.38,Separated,3
2182,No,3,3,5,3,4,Female,75,72603.49,Never Married,0
2183,Yes,3,2,4,4,2,Female,81,1179.53,Never Married,0
2184,Yes,5,5,1,6,4,Female,27,78989.36,Widowed,4
2185,No,6,5,4,1,6,Male,75,36649.03,Divorced,4
2186,No,1,2,4,3,3,Male,19,65762.88,Never Married,4
2187,No,6,5,4,2,3,Female,47,42200.98,Widowed,1
2188,Yes,3,3,5,3,3,Female,81,3456.77,Never Married,0
2189,Yes,2,2,5,3,2,Female,43,9011.25,Never Married,1
2190,Yes,5,4,4,5,5,Female,83,104548.7,Widowed,0
2191,No,4,4,3,3,4,Male,22,36224.99,Separated,0
2192,Yes,3,4,3,5,3,Male,59,52409.75,Widowed,1
2193,Yes,1,1,3,3,3,Male,81,42530.46,Married,4
2194,Yes,3,2,3,3,4,Male,81,25761.05,Separated,0
2195,No,3,3,3,4,3,Female,26,61145.59,Never Married,2
2196,No,4,3,3,4,5,Male,67,91825.37,Separated,1
2197,No,3,4,1,7,2,Female,19,44080.0,Married,3
2198,Yes,4,3,4,3,4,Male,24,18445.73,Never Married,1
2199,No,3,3,2,5,2,Nonbinary,82,30801.14,Separated,9
2200,No,3,3,4,5,2,Female,26,45814.19,Separated,1
2201,No,3,2,4,4,4,Male,80,49276.44,Divorced,0
2202,Yes,4,3,4,4,4,Female,89,98189.95,Married,1
2203,Yes,4,3,4,4,4,Female,19,24364.42,Divorced,8
2204,Yes,4,4,4,3,4,Female,20,18199.63,Married,6
2205,No,2,2,5,4,2,Female,60,38683.31,Widowed,2
2206,No,4,4,2,2,4,Male,86,18593.16,Separated,1
2207,No,4,4,4,4,4,Male,35,21302.74,Separated,2
2208,Yes,3,3,2,5,2,Male,47,16752.3,Separated,3
2209,No,2,4,4,2,4,Female,41,11359.36,Divorced,10
2210,No,2,4,3,3,3,Female,41,75769.12,Separated,0
2211,No,6,5,3,5,4,Female,40,51427.43,Separated,0
2212,No,4,3,4,2,5,Male,28,65499.28,Separated,1
2213,No,3,3,4,3,2,Male,40,38914.87,Never Married,2
2214,No,4,4,3,4,4,Female,60,44522.71,Never Married,7
2215,Yes,5,4,3,3,5,Female,61,13622.45,Divorced,1
2216,Yes,3,3,6,3,2,Male,70,26894.86,Separated,3
2217,No,3,3,4,5,2,Male,39,33598.53,Never Married,0
2218,No,3,3,3,3,5,Female,32,4032.31,Widowed,1
2219,Yes,3,3,3,4,4,Female,28,32731.53,Married,0
2220,No,5,5,3,5,2,Male,29,33578.92,Widowed,2
2221,No,3,4,4,3,4,Female,83,58563.96,Widowed,0
2222,No,3,2,1,6,3,Female,73,60432.79,Never Married,3
2223,No,4,4,2,4,3,Male,33,9774.33,Widowed,2
2224,Yes,3,2,4,3,4,Male,46,60537.01,Separated,3
2225,Yes,2,4,3,5,2,Male,66,72382.94,Separated,0
2226,Yes,3,3,3,5,2,Male,45,24324.5,Widowed,3
2227,No,4,4,3,3,5,Female,33,37615.69,Never Married,4
2228,Yes,3,2,5,2,2,Female,24,36024.36,Widowed,2
2229,No,3,4,4,4,3,Male,49,11247.19,Married,6
2230,Yes,2,2,4,3,3,Female,59,8233.96,Divorced,0
2231,Yes,4,3,2,4,4,Male,19,48228.96,Widowed,1
2232,Yes,5,4,3,5,3,Male,70,16662.12,Separated,4
2233,No,5,4,3,3,5,Female,48,35433.48,Widowed,2
2234,Yes,3,1,3,4,3,Male,74,34422.88,Divorced,4
2235,No,4,4,5,2,3,Female,32,25712.78,Never Married,4
2236,Yes,3,4,4,3,3,Female,52,70459.21,Divorced,0
2237,No,5,4,3,3,5,Nonbinary,58,33109.91,Married,0
2238,No,2,3,4,4,3,Male,44,18086.0,Never Married,0
2239,No,4,4,3,4,2,Male,83,43598.48,Married,4
2240,No,3,3,3,3,3,Male,76,1476.14,Married,2
2241,Yes,3,3,4,1,5,Female,81,52085.92,Widowed,1
2242,Yes,4,4,3,4,4,Male,66,24165.59,Divorced,0
2243,Yes,3,4,3,3,4,Female,28,21391.97,Divorced,2
2244,No,2,1,2,3,3,Male,83,52417.3,Married,0
2245,Yes,3,2,4,2,3,Male,60,44650.63,Never Married,5
2246,No,3,4,6,2,5,Male,18,36555.15,Widowed,1
2247,No,4,4,4,4,4,Male,63,38794.93,Widowed,4
2248,Yes,3,3,2,5,4,Male,57,45161.45,Divorced,2
2249,No,3,4,4,3,2,Female,48,6975.47,Never Married,1
2250,Yes,5,3,4,5,2,Female,47,49799.5,Never Married,1
2251,No,4,4,4,4,6,Female,77,18868.46,Married,3
2252,Yes,4,3,2,4,4,Nonbinary,77,80750.15,Separated,8
2253,No,3,4,3,3,4,Female,71,5846.29,Divorced,0
2254,No,5,5,2,3,5,Female,74,18527.27,Widowed,3
2255,Yes,3,2,4,4,5,Female,39,15635.66,Widowed,0
2256,No,3,3,3,5,3,Female,45,12233.26,Widowed,0
2257,Yes,4,4,2,6,2,Male,23,33976.92,Widowed,2
2258,No,4,3,2,2,4,Male,33,6288.9,Never Married,0
2259,Yes,5,5,4,2,4,Male,78,11520.48,Divorced,1
2260,No,3,4,4,3,3,Male,64,16359.9,Divorced,5
2261,Yes,3,4,4,2,5,Female,62,33860.71,Separated,2
2262,Yes,2,2,6,2,4,Female,26,41037.45,Never Married,3
2263,No,4,5,4,3,3,Male,25,32479.8,Never Married,1
2264,No,7,6,2,5,4,Female,63,39653.8,Divorced,4
2265,Yes,3,3,2,4,2,Female,21,11075.25,Divorced,2
2266,No,3,4,4,3,4,Male,62,17947.55,Married,3
2267,No,3,4,4,3,2,Male,74,20698.04,Divorced,3
2268,Yes,3,3,3,3,4,Male,22,3109.66,Divorced,3
2269,No,4,2,4,4,4,Male,26,16592.25,Divorced,4
2270,Yes,3,4,3,2,4,Male,86,43824.26,Married,1
2271,Yes,4,5,4,3,4,Female,18,81110.33,Separated,0
2272,Yes,4,5,4,4,4,Male,79,14493.59,Widowed,2
2273,Yes,6,5,4,4,7,Male,81,50836.65,Separated,8
2274,No,3,4,4,3,5,Female,78,79369.7,Married,0
2275,Yes,4,4,4,3,4,Female,18,2995.33,Separated,1
2276,No,1,1,6,1,4,Male,57,6707.83,Married,1
2277,No,3,2,5,4,3,Male,51,12076.88,Divorced,1
2278,No,5,4,4,4,2,Female,35,81564.77,Divorced,3
2279,No,6,4,3,3,3,Female,25,28965.25,Separated,2
2280,No,4,4,6,2,3,Male,57,44819.67,Separated,0
2281,Yes,3,2,3,4,5,Male,82,29906.71,Divorced,0
2282,No,5,4,4,3,4,Male,29,14406.17,Separated,2
2283,No,6,4,3,4,3,Female,58,46986.55,Married,0
2284,No,4,3,7,2,4,Female,60,20029.65,Divorced,0
2285,Yes,4,4,4,3,5,Female,85,64074.31,Married,10
2286,Yes,3,3,4,5,3,Male,74,26838.78,Never Married,2
2287,Yes,5,4,2,5,4,Female,21,66758.56,Never Married,4
2288,No,2,3,4,2,4,Male,67,91903.25,Widowed,0
2289,No,5,6,2,4,5,Female,43,41398.21,Widowed,0
2290,Yes,5,4,3,4,3,Female,46,53245.7,Never Married,1
2291,No,4,2,4,3,4,Female,26,7011.67,Separated,1
2292,No,5,4,3,3,5,Female,47,19387.14,Separated,0
2293,No,4,5,1,4,3,Male,86,18450.35,Widowed,5
2294,Yes,4,4,3,4,3,Female,26,113438.3,Widowed,3
2295,Yes,3,4,2,5,3,Female,32,34247.55,Widowed,0
2296,No,4,4,2,3,4,Female,81,34411.96,Never Married,0
2297,Yes,4,4,4,3,4,Male,48,28861.44,Never Married,2
2298,Yes,4,4,5,3,5,Male,43,31221.21,Widowed,2
2299,No,5,5,5,4,4,Female,83,63900.46,Separated,2
2300,No,3,4,2,5,3,Nonbinary,85,7514.44,Separated,1
2301,Yes,2,2,3,4,2,Female,38,22570.85,Married,3
2302,Yes,5,4,5,2,5,Nonbinary,67,1980.3,Never Married,0
2303,Yes,4,4,2,4,3,Female,55,50428.1,Married,1
2304,Yes,4,5,4,3,4,Female,53,34994.57,Divorced,2
2305,No,3,3,3,4,3,Male,52,63289.55,Never Married,3
2306,No,3,3,4,3,3,Male,63,55474.66,Divorced,3
2307,Yes,3,2,3,4,3,Male,29,20821.39,Separated,3
2308,Yes,4,3,4,3,5,Male,81,2991.27,Widowed,0
2309,No,4,4,2,4,5,Female,82,22935.07,Widowed,1
2310,Yes,2,2,3,4,2,Female,83,46635.98,Widowed,0
2311,Yes,2,3,2,5,2,Male,68,54639.21,Separated,1
2312,Yes,3,3,4,5,3,Male,53,11926.59,Never Married,3
2313,Yes,3,3,3,3,3,Male,49,46256.13,Widowed,3
2314,Yes,5,4,2,6,4,Female,33,56003.0,Separated,0
2315,No,3,3,4,5,2,Female,49,6754.78,Separated,1
2316,Yes,5,3,5,3,3,Female,43,38691.98,Widowed,6
2317,Yes,4,5,3,4,3,Female,69,14924.39,Separated,4
2318,Yes,3,2,5,2,3,Male,19,18088.03,Never Married,2
2319,No,4,3,4,4,4,Female,87,20648.53,Widowed,2
2320,No,4,3,5,2,5,Male,22,34628.88,Married,3
2321,No,4,5,3,3,4,Male,70,54250.18,Never Married,1
2322,Yes,4,3,4,4,4,Nonbinary,80,111971.9,Married,4
2323,Yes,4,4,4,3,5,Male,60,34515.01,Married,3
2324,No,3,3,4,3,2,Female,58,9352.62,Widowed,0
2325,No,3,3,4,3,2,Male,32,27727.0,Married,1
2326,Yes,4,5,3,3,4,Male,40,26064.31,Divorced,1
2327,Yes,2,2,4,2,5,Female,47,49233.98,Separated,0
2328,Yes,3,3,2,4,4,Male,73,12610.41,Never Married,2
2329,Yes,3,3,3,3,4,Female,40,37475.72,Never Married,4
2330,No,6,4,4,3,5,Female,74,23302.39,Separated,0
2331,No,3,4,3,4,4,Male,46,23511.45,Divorced,0
2332,Yes,5,4,4,3,5,Female,60,59560.13,Widowed,1
2333,No,5,4,4,3,4,Female,56,25996.36,Divorced,1
2334,No,4,4,5,4,4,Male,55,13814.44,Married,1
2335,Yes,3,4,3,3,1,Male,25,39681.63,Separated,0
2336,Yes,4,3,3,3,3,Female,82,47185.23,Divorced,0
2337,No,4,4,4,2,4,Male,51,13564.03,Divorced,0
2338,No,3,3,5,3,2,Male,30,15693.82,Widowed,0
2339,No,4,4,4,4,3,Female,83,137119.7,Divorced,1
2340,Yes,4,4,3,5,3,Female,63,37749.42,Married,2
